eid,title,text,text_size,text_length,text_word_count,job_id,page_num,condition,highlighted_text,y,is_golden,worker_id,country,y_crowd,y_crowd_bin,decision_time,screen_height,screen_width,highlighting_quality,worker_participation
2-s2.0-84865446863,Early detection of dementia and ICT: Signs from practice,"Objective and research questions. Dementia is a growing challenge in our aging society. Often, persons close to older people at some point in time sense that 'something is wrong' (long) before dementia is actually diagnosed, but do not know how to act upon it. This may lead to situations where dementia progresses unnoticed, until it escalates, and people need sudden admission to a hospital or nursing home. Therefore the aim of this project was to develop the outlines of an ICT system to effectively register and interpret signs of potential dementia, in order to give proper care long before things get out of hand. Besides relatives, close friends and health care workers, also other persons or organizations that are involved with older persons could play a role in the early detection of dementia. Individual signs often do not elicit a call to action. The combination of signals from several sources into a central digital system might generate a more complete view of an individual's situation. This yielded the following research questions: 1. Who are the important social contacts in the network of older persons that might detect early signs of problems? 2. How do social contacts currently experience and process possible signs of dementia? 3. How do older persons and their social contacts perceive a solution like the one we are envisioning (a kind of 'digital central signaling system')? Methods. The social network of 12 older persons was studied with semi-structured interviews. Furthermore, 12 formal carers, 12 informal carers and eight family carers of persons with dementia were interviewed, in order to map experiences and processing of early signs of dementia. In addition, the attitude toward the envisioned system was studied. In an expert panel of 18 participants the results of the interviews were transformed into recommendations. These were subsequently tested in two focus group sessions with older persons. Results. Family plays a central role, both in the social network of older persons as well as in the early signaling of dementia. All persons involved in this study valued the idea of a dementia signaling system. There is some skepticism with respect to privacy matters among carers. Apart from signaling, there is also a great demand for tailor made information in the pre-diagnostic stage. All involved persons indicate the need for support, but they experience high barriers in taking the first steps and finding the right aid and information. Conclusion. An adaptive information system that also offers signaling possibilities will be more appropriate than an exclusive signaling system. Such a system needs to prevent stigmatization, should be demand driven, focused on empowerment rather than care, and managed by the user. An approach from the welfare perspective might be more successful than a disease-oriented approach. © 2011 The authors and IOS Press. All rights reserved.",long,2923,464,1349655,1,83%,"[[""<span class=\""highlighted\"" data-timestamp=\""1541176179278\"" style=\""background-color: rgb(255, 255, 123);\"" data-highlighted=\""true\""></span>"",""the aim of this project was to develop the outlines of an ICT system to effectively register and interpret signs of potential dementia, in order to give proper care long before things get out of hand"",""1"",433,199]]",0,True,a3b6cdf027031c3f789f89e2fe273fc799efbf82,SRB,yes,1,70.402,783,1679,good,1
2-s2.0-84878728077,"Internet use among older adults: Association with health needs, psychological capital, and social capital","Background: Previous studies have identified socioeconomic status and health status as predictors of older adults' computer and Internet use, but researchers have not examined the relationships between older adults' health needs and psychological capital (emotional well-being and self-efficacy) and social capital (social integration/ties and support networks) to different types of Internet use. Objective: This study examined (1) whether older adults' health conditions and psychological and social capital differentiate Internet users from nonusers, and (2) whether the Internet users differed in their types of Internet use on the basis of their health conditions and psychological and social capital. Methods: Data for this study came from the National Health and Aging Trends Study, which is based on a nationally representative sample of US Medicare beneficiaries aged 65 years and older. The sample for this study were those who resided in the community in their own or others' homes (N=6680). Binary logistic regression analysis was used to compare health needs, psychological capital, and social capital among (1) any type of Internet users and nonusers, (2) Internet users who engaged in health-related tasks and Internet users who did not, (3) Internet users who engaged in shopping/banking tasks and Internet users who did not, and (4) Internet users only used the Internet for email/texting and all other Internet users. Results: Depressive and anxiety symptoms, measures of psychological capital, were negatively associated with Internet use among older adults (odds ratio [OR] 0.83, 95% CI 0.70-0.98, P=.03 and OR 0.79, 95% CI 0.65-0.97, P=.03, respectively), whereas most measures of social capital were positively associated with Internet use. Having more chronic medical conditions and engaging in formal volunteering increased the odds of Internet use for health-related tasks by 1.15 (95% CI 1.08-1.23, P<.001) and 1.28 (95% CI 1.05-1.57, P=.02), respectively, but anxiety symptoms decreased the odds (OR 0.74, 95% CI 0.55-0.99, P=.05). Religious service attendance was negatively associated with Internet use for shopping/banking activities (OR 0.75, 95% CI 0.62-0.91, P=.01). Anxiety symptoms increased the odds of using the Internet only for emails/texting (OR 1.75, 95% CI 1.12-2.75, P=.02), but formal volunteering decreased the odds (OR 0.63, 95% CI 0.43-0.92, P=.02). Other correlates of Internet use solely for emails/texting were older age (80-84 years and ≥85 years), a black or ""other"" racial/ethnic background, a high school education or less than high school, and lower income. Conclusions: The findings point to the importance of social capital in facilitating older adults' learning and adoption of Internet technology. Older adults who used the Internet for email/texting purposes only were the most socially and economically disadvantaged group of Internet users. Computer/Internet training for older adults and computer/Internet use for various purposes need to consider the significant role their social capital can play.",long,3062,449,1349655,1,83%,"[[""<span class=\""highlighted\"" data-timestamp=\""1541508188789\"" style=\""background-color: rgb(255, 255, 123);\"" data-highlighted=\""true\""></span>"",""Data for this study came from the National Health and Aging Trends Study, which is based on a nationally representative sample of US Medicare beneficiaries aged 65 years and older."",""1"",729,180]]",1,True,a3b6cdf027031c3f789f89e2fe273fc799efbf82,SRB,yes,1,27.421,783,1679,bad,1
2-s2.0-84930331694,Older people going online: Its value and before-After evaluation of volunteer support,"Although Internet usage can benefit older people by reducing social isolation, increasing access to services, and improving health and well-being, only a minority are online. Barriers to Internet uptake include attitude and a lack of knowledge and help. We have evaluated volunteer support in helping older people go online. Knowing what value the Internet has been to older people who have just gone online should guide how it is ""sold"" to those remaining offline. Objective: Objectives of this study are (1) to assess the feasibility of recruiting volunteers aged 50 years and older and supporting them in helping people (ie, beneficiaries) aged 65 years and older go online, (2) to assess the impact of beneficiaries using the Internet on contacts with others, loneliness, and mental health, and (3) to assess the perceived value to beneficiaries of going online. Methods: Beneficiaries received help in using the Internet from 32 volunteers in one of two ways: (1) one-on-one in their own homes, receiving an average of 12 hours of help over eight visits, or (2) in small group sessions, receiving 12 hours of help over six visits. We assessed, at registration and follow-up, the number of contacts with others, using Lubben's 6-item Lubben Social Network Scale (LBNS-6), loneliness, using De Jong Gierveld's 6-item De Jong Gierveld loneliness scale (DJG-6), and mental well-being, using Tennant's Short Warwick-Edinburgh Mental Well-Being Scale (SWEMWBS). We also assessed how beneficiaries valued going online using a Social Return on Investment (SROI) approach by postal survey. Results: A total of 144 beneficiaries were recruited with the aim of helping them go online via one-on-one (n=58) or small group (n=86) sessions. Data through to follow-up were available on 76.4% (110/144) of participants. From baseline to follow-up, the number of contacts with others was significantly increased-LBNS-6, mean 13.7 to mean 17.6-loneliness scores were reduced-DJG-6, mean 2.38 to mean 1.80-and mental well-being improved-SWEMWBS, mean 24.06 to mean 24.96. Out of six options, beneficiaries valued better communication with family and friends most and better health care least as a benefit of using the Internet. Out of nine options, having the Internet was valued less than having TV, but more than, for example, having a weekly visit from a cleaner. There were no associations between values placed on Internet use or volunteer help and psychological improvements. Conclusions: Volunteer help to go online seemed to result in increased social contacts, reduced loneliness, and improved mental well-being and was valued quite highly by beneficiaries. Although the use of the Internet for health care was the least valued, improved social contact can improve health. Contacting family is likely to be the best ""selling point"" of the Internet for older people.",long,2860,443,1349655,1,83%,"[[""<span class=\""highlighted\"" data-timestamp=\""1541500112327\"" style=\""background-color: rgb(255, 255, 123);\"" data-highlighted=\""true\""></span>"",""Objectives of this study are (1) to assess the feasibility of recruiting volunteers aged 50 years and older and supporting them in helping people (ie, beneficiaries) aged 65 years and older go online, (2) to assess the impact of beneficiaries using the Internet on contacts with others"",""1"",490,285],[""<span class=\""highlighted\"" data-timestamp=\""1541500126491\"" style=\""background-color: rgb(255, 255, 123);\"" data-highlighted=\""true\""></span>"",""Contacting family is likely to be the best \""selling point\"" of the Internet for older people."",""3"",2006,92]]",1,True,a3b6cdf027031c3f789f89e2fe273fc799efbf82,SRB,yes,1,16.410999999999998,783,1679,good,1
2-s2.0-84940639024,Long-term health outcomes and cost-effectiveness of a computer-tailored physical activity intervention among people aged over fifty: Modelling the results of a randomized controlled trial,"Background: Physical inactivity is a significant predictor of several chronic diseases, becoming more prevalent as people age. Since the aging population increases demands on healthcare budgets, effectively stimulating physical activity (PA) against acceptable costs is of major relevance. This study provides insight into long-term health outcomes and cost-effectiveness of a tailored PA intervention among adults aged over fifty. Methods: Intervention participants (N = 1729) received tailored advice three times within four months, targeting the psychosocial determinants of PA. The intervention was delivered in different conditions (i.e. print-delivered versus Web-based, and with or without additional information on local PA opportunities). In a clustered RCT, the effects of the different intervention conditions were compared to each other and to a control group. Effects on weekly Metabolic Equivalents (MET)-hours of PA obtained one year after the intervention started were extrapolated to long-term outcomes (5-year, 10-year and lifetime horizons) in terms of health effects and quality-adjusted life years (QALYs) and its effect on healthcare costs, using a computer simulation model. Combining the model outcomes with intervention cost estimates, this study provides insight into the long-term cost-effectiveness of the intervention. Incremental cost-effectiveness ratios (ICERs) were calculated. Results: For all extrapolated time horizons, the printed and the Web-based intervention resulted in decreased incidence numbers for diabetes, colon cancer, breast cancer, acute myocardial infarctions, and stroke and increased QALYs as a result of increased PA. Considering a societal Willingness-to-Pay of €20,000/QALY, on a lifetime horizon the printed (ICER = €7,500/QALY) as well as the Web-based interventions (ICER = €10,100/QALY) were cost-effective. On a 5-year time horizon, the Web-based intervention was preferred over the printed intervention. On a 10-year and lifetime horizon, the printed intervention was the preferred intervention condition, since the monetary savings of the Web-based intervention did no longer outweigh its lower effects. Adding environmental information resulted in a lower cost-effectiveness. Conclusion: A tailored PA intervention in a printed delivery mode, without environmental information, has the most potential for being cost-effective in adults aged over 50. ï¿½ 2014 Peels et al.",long,2435,335,1349655,1,83%,"[[""<span class=\""highlighted\"" data-timestamp=\""1541177247217\"" style=\""background-color: rgb(255, 255, 123);\"" data-highlighted=\""true\""></span>"",""This study provides insight into long-term health outcomes and cost-effectiveness of a tailored PA intervention among adults aged over fifty"",""1"",303,140]]",0,True,a3b6cdf027031c3f789f89e2fe273fc799efbf82,SRB,no,0,43.18899999999999,783,1679,good,1
2-s2.0-84950127421,ICT-based system to predict and prevent falls (iStoppFalls): Results from an international multicenter randomized controlled trial,"Background: Falls and fall-related injuries are a serious public health issue. Exercise programs can effectively reduce fall risk in older people. The iStoppFalls project developed an Information and Communication Technology-based system to deliver an unsupervised exercise program in older people’s homes. The primary aims of the iStoppFalls randomized controlled trial were to assess the feasibility (exercise adherence, acceptability and safety) of the intervention program and its effectiveness on common fall risk factors. Methods: A total of 153 community-dwelling people aged 65+ years took part in this international, multicentre, randomized controlled trial. Intervention group participants conducted the exercise program for 16 weeks, with a recommended duration of 120 min/week for balance exergames and 60 min/week for strength exercises. All intervention and control participants received educational material including advice on a healthy lifestyle and fall prevention. Assessments included physical and cognitive tests, and questionnaires for health, fear of falling, number of falls, quality of life and psychosocial outcomes. Results: The median total exercise duration was 11.7 h (IQR = 22.0) over the 16-week intervention period. There were no adverse events. Physiological fall risk (Physiological Profile Assessment, PPA) reduced significantly more in the intervention group compared to the control group (F1,127 = 4.54, p = 0.035). There was a significant three-way interaction for fall risk assessed by the PPA between the high-adherence (&gt;90 min/week; n = 18, 25.4 %), low-adherence (&lt;90 min/week; n = 53, 74.6 %) and control group (F2,125 = 3.12, n = 75, p = 0.044). Post hoc analysis revealed a significantly larger effect in favour of the high-adherence group compared to the control group for fall risk (p = 0.031), postural sway (p = 0.046), stepping reaction time (p = 0.041), executive functioning (p = 0.044), and quality of life (p for trend = 0.052). Conclusions: The iStoppFalls exercise program reduced physiological fall risk in the study sample. Additional subgroup analyses revealed that intervention participants with better adherence also improved in postural sway, stepping reaction, and executive function. Trial registration: Australian New Zealand Clinical Trials Registry Trial ID: ACTRN12614000096651 International Standard Randomised Controlled Trial Number: ISRCTN15932647. © 2015 Gschwind et al.",long,2451,352,1349655,1,83%,"[[""<span class=\""highlighted\"" data-timestamp=\""1541500586385\"" style=\""background-color: rgb(255, 255, 123);\"" data-highlighted=\""true\""></span>"",""The iStoppFalls project developed an Information and Communication Technology-based system to deliver an unsupervised exercise program in older people’s homes."",""1"",160,159],[""<span class=\""highlighted\"" data-timestamp=\""1541500620911\"" style=\""background-color: rgb(255, 255, 123);\"" data-highlighted=\""true\""></span>"",""primary aims of the iStoppFalls randomized controlled trial were to assess the feasibility"",""3"",5,90],[""<span class=\""highlighted\"" data-timestamp=\""1541500629860\"" style=\""background-color: rgb(255, 255, 123);\"" data-highlighted=\""true\""></span>"",""of the intervention program and its effectiveness on common fall risk factors."",""5"",48,78]]",0,True,a3b6cdf027031c3f789f89e2fe273fc799efbf82,SRB,no,0,20.915,783,1679,good,1
2-s2.0-84982883886,"Cognitive–behavioural therapy-based intervention to reduce fear of falling in older people: Therapy development and randomised controlled trial – the strategies for increasing independence, confidence and energy (STRIDE) study","Background Falls cause fear, anxiety and loss of confidence, resulting in activity avoidance, social isolation and increasing frailty. The umbrella term for these problems is ‘fear of falling’, seen in up to 85% of older adults who fall. Evidence of effectiveness of physical and psychological interventions is limited, with no previous studies examining the role of an individually delivered cognitive–behavioural therapy (CBT) approach. Objectives Primary objectiveTo develop and then determine the effectiveness of a new CBT intervention (CBTi) delivered by health-care assistants (HCAs) plus usual care compared with usual care alone in reducing fear of falling. Secondary objectivesTo measure the impact of the intervention on falls, injuries, functional abilities, anxiety/depression, quality of life, social participation and loneliness; investigate the acceptability of the intervention for patients, family members and professionals and factors that promote or inhibit its implementation; and measure the costs and benefits of the intervention.  Design Phase ICBTi development. Phase IIParallel-group patient randomised controlled trial (RCT) of the new CBTi plus usual care compared with usual care alone.  Setting Multidisciplinary falls services. Participants Consecutive community-dwelling older adults, both sexes, aged ≥ 60 years, with excessive or undue fear of falling per Falls Efficacy Scale–International (FES-I) score of > 23. Interventions Phase IDevelopment of the CBTi. The CBTi was developed following patient interviews and taught to HCAs to maximise the potential for uptake and generalisability to a UK NHS setting. Phase IIRCT. The CBTi was delivered by HCAs weekly for 8 weeks, with a 6-month booster session plus usual care.  Main outcome measures These were assessed at baseline, 8 weeks, 6 months and 12 months. Primary outcome measureFear of falling measured by change in FES-I scores at 12 months. Secondary outcome measures These comprised falls, injuries, anxiety/depression [Hospital Anxiety and Depression Scale (HADS)], quality of life, social participation, loneliness and measures of physical function. There were process and health-economic evaluations alongside the trial.  Results Four hundred and fifteen patients were recruited, with 210 patients randomised to CBTi group and 205 to the control group. There were significant reductions in mean FES-I [–4.02; 95% confidence interval (CI) –5.95 to –2.1], single-item numerical fear of falling scale (–1.42; 95% CI –1.87 to 1.07) and HADS (–1; 95% CI –1.6 to –0.3) scores at 12 months in the CBTi group compared with the usual care group. There were no differences in the other secondary outcome measures. Most patients found the CBTi acceptable. Factors affecting the delivery of the CBTi as part of routine practice were identified. There was no evidence that the intervention was cost-effective. Conclusions Our new CBTi delivered by HCAs significantly improved fear of falling and depression scores in older adults who were attending falls services. There was no impact on other measures. Further work Further work should focus on a joint CBTi and physical training approach to fear of falling, more rational targeting of CBTi, the possibility of mixed group and individual CBTi, and the cost-effectiveness of provision of CBTi by non-specialists. Trial registration Current Controlled Trials ISRCTN78396615. Funding This project was funded by the NIHR Health Technology Assessment programme and will be published in full in Health Technology Assessment; Vol. 20, No. 56. See the NIHR Journals Library website for further project information. © Queen’s Printer and Controller of HMSO 2016.",long,3687,540,1349655,1,83%,"[[""<span class=\""highlighted\"" data-timestamp=\""1541177155452\"" style=\""background-color: rgb(255, 255, 123);\"" data-highlighted=\""true\""></span>"",""The CBTi was developed following patient interviews and taught to HCAs to maximise the potential for uptake and generalisability to a UK NHS setting. "",""1"",1507,150],[""<span class=\""highlighted\"" data-timestamp=\""1541177168178\"" style=\""background-color: rgb(255, 255, 123);\"" data-highlighted=\""true\""></span>"",""Our new CBTi delivered by HCAs significantly improved fear of falling and depression scores in older adults who were attending falls services."",""3"",1261,142]]",0,True,a3b6cdf027031c3f789f89e2fe273fc799efbf82,SRB,no,0,27.284000000000002,783,1679,good,1
2-s2.0-84919807805,Younger and older users' recognition of virtual agent facial expressions,"As technology advances, robots and virtual agents will be introduced into the home and healthcare settings to assist individuals, both young and old, with everyday living tasks. Understanding how users recognize an agent's social cues is therefore imperative, especially in social interactions. Facial expression, in particular, is one of the most common non-verbal cues used to display and communicate emotion in on-screen agents (Cassell et al., 2000). Age is important to consider because age-related differences in emotion recognition of human facial expression have been supported (Ruffman et al., 2008), with older adults showing a deficit for recognition of negative facial expressions. Previous work has shown that younger adults can effectively recognize facial emotions displayed by agents (Bartneck and Reichenbach, 2005; Courgeon et al., 2009, 2011; Breazeal, 2003); however, little research has compared in-depth younger and older adults' ability to label a virtual agent's facial emotions, an import consideration because social agents will be required to interact with users of varying ages. If such age-related differences exist for recognition of virtual agent facial expressions, we aim to understand if those age-related differences are influenced by the intensity of the emotion, dynamic formation of emotion (i.e., a neutral expression developing into an expression of emotion through motion), or the type of virtual character differing by human-likeness. Study 1 investigated the relationship between age-related differences, the implication of dynamic formation of emotion, and the role of emotion intensity in emotion recognition of the facial expressions of a virtual agent (iCat). Study 2 examined age-related differences in recognition expressed by three types of virtual characters differing by human-likeness (non-humanoid iCat, synthetic human, and human). Study 2 also investigated the role of configural and featural processing as a possible explanation for age-related differences in emotion recognition. First, our findings show age-related differences in the recognition of emotions expressed by a virtual agent, with older adults showing lower recognition for the emotions of anger, disgust, fear, happiness, sadness, and neutral. These age-related difference might be explained by older adults having difficulty discriminating similarity in configural arrangement of facial features for certain emotions; for example, older adults often mislabeled the similar emotions of fear as surprise. Second, our results did not provide evidence for the dynamic formation improving emotion recognition; but, in general, the intensity of the emotion improved recognition. Lastly, we learned that emotion recognition, for older and younger adults, differed by character type, from best to worst: human, synthetic human, and then iCat. Our findings provide guidance for design, as well as the development of a framework of age-related differences in emotion recognition. © 2014 Elsevier Ltd. All rights reserved.",long,3035,435,1349655,2,83%,"[[""<span class=\""highlighted\"" data-timestamp=\""1541459454263\"" style=\""background-color: rgb(255, 255, 123);\"" data-highlighted=\""true\""></span>"",""If such age-related differences exist for recognition of virtual agent facial expressions, we aim to understand if those age-related differences are influenced by the intensity of the emotion, dynamic formation of emotion (i.e., a neutral expression developing into an expression of emotion through motion), or the type of virtual character differing by human-likeness."",""1"",1120,369]]",0,True,a3b6cdf027031c3f789f89e2fe273fc799efbf82,SRB,no,0,42.638000000000005,783,1679,good,1
2-s2.0-84862164688,Attitudes towards knowledge transfer in an environment to perform,"Purpose - This paper seeks to determine attitudes that impact on knowledge transfer between academics (university teaching and research staff) employed in today's competitive, technology-based university setting. Design/methodology/approach - The study generated a rich set of data by conducting, first, an exploratory, qualitative study followed by a confirmatory, quantitative study Through this process, an initial list of 402 attitudes to knowledge transfer was derived which was narrowed to 75 for the quantitative survey which, through factor analysis, was further reduced to 24 variables. The 24 variables were grouped into four factors for which trust and motivation are more relevant to the knowledge provider and absorptive capacity and knowledge regeneration for the receiver. Findings - High levels of agreement were found for the propositions that senior academics lacked compensation for mentoring activities, and hence, the motivation to transfer knowledge, and that a heavy teaching load prevented the absorption of transferred knowledge. By contrast, disagreement was found with the propositions that an elderly age impeded the transfer of knowledge or adapting to new ways of transferring knowledge. Practical implications - From the responses obtained it was possible to identify those rated highly and from which conclusions could be drawn that may assist the university concerned to improve knowledge transfer among its academic staff. Compensation to senior academics for their time and effort was seen as the most important pre-requisite for knowledge transfer. A reduction in teaching loads and the range of expectations to which academics are subjected would also facilitate knowledge transfer as would increasing academics' use of ICT and ability to assess its effectiveness, as well as recognising that knowledge transfer during social interactions may ameliorate the lack of knowledge transfer in the more formal, technology-based environment. Originality/value - The paper identifies key attitudes of academics to transferring knowledge to colleagues in the changing work place at universities in which academics are expected to perform at a high level in diverse activities and use technology to maximise their efficiency and effectiveness. © Emerald Group Publishing Limited.",long,2306,335,1349655,2,83%,"[[""<span class=\""highlighted\"" data-timestamp=\""1541175950108\"" style=\""background-color: rgb(255, 255, 123);\"" data-highlighted=\""true\""></span>"",""By contrast, disagreement was found with the propositions that an elderly age impeded the transfer of knowledge or adapting to new ways of transferring knowledge"",""1"",1068,161]]",0,False,a3b6cdf027031c3f789f89e2fe273fc799efbf82,SRB,yes,1,36.985,783,1679,bad,1
2-s2.0-84921647901,Cyberseniors and quality of life: A focus on social networking,"In the contemporary world which emphasizes the new, the different and the snapshot, we perceive an inversion of roles with regard to stages of life and appreciation of individuals. The old age in Western societies has often been linked to inactivity and biological decline. To reinforce this thought we find the cult of youth which dominates media, advertising and the contemporary society (Brandão and Silveira, 2010). Aging is not only a question of genetics and biology, but also psychological and social issues. Aging is a natural development of life and depends on the environmental conditions and the socio-cultural characteristics of seniors' lives (Freitas, 2011). Nowadays the information and communication technologies (ICT) have contributed to dissemination of knowledge through several means, and to do so ICT use digital tools. These tools allow not only research but also may provide conditions towards knowledge to be shared and socialized. Thus, these technologies may help older people to reduce isolation and loneliness, increasing their chances of keeping in touch with family and friends, including their social relationships through the use of social networks as a tool to facilitate the active aging achievement (Páscoa, 2012). In this sense the population is increasingly concerned about the quality of life. Quality of life encompasses different factors and therefore it is considered multidimensional. So, quality of life refers about biological, educational, psychological and social aspects which include new changes in society. The use of ICTs can help seniors to enjoy and include themselves in the Knowledge Society, mostly through Digital Social Networks (DSN) where they can relate with family and friends. The Digital Social Networks (DSN) foster changes in social relationships and they are a medium that enable changes in social relations, this research aims to investigate the influence of the use of DSN by elderly who are already digitally included and utilize this type of technology. We investigated the DSN influence in the quality of life of seniors. For this purpose, a survey was conducted with twelve seniors who participated in a course of digital inclusion in Brazil, during 2009 to 2013. We used the WHOQOL-bref Questionnaire of World Health Organization to evaluate the quality of life perceived by the participants. Our findings indicate that seniors were active participants in the DSN, and use it mainly to communicate with each other and exchange information as a way to maintain existing relationships and to obtain new ones. This shows that DSN can improve the quality of life for seniors.",long,2644,411,1349655,2,83%,"[[""<span class=\""highlighted\"" data-timestamp=\""1541167669350\"" style=\""background-color: rgb(255, 255, 123);\"" data-highlighted=\""true\""></span>"",""Our findings indicate that seniors were active participants in the DSN, and use it mainly to communicate with each other and exchange information as a way to maintain existing relationships and to obtain new ones."",""1"",2379,213]]",1,False,a3b6cdf027031c3f789f89e2fe273fc799efbf82,SRB,yes,1,19.069000000000003,783,1679,good,1
2-s2.0-84928566433,Attitudes towards the use and acceptance of eHealth technologies: A case study of older adults living with chronic pain and implications for rural healthcare,"Background: Providing health services to an ageing population is challenging, and in rural areas even more so. It is expensive to provide high quality services to small populations who are widely dispersed; staff and patients are often required to travel considerable distances to access services, and the economic downturn has created a climate where delivery costs are under constant review. There is potential for technology to overcome some of these problems by decreasing or ceasing the need for patients and health professionals to travel to attend/deliver in-person appointments. A variety of eHealth initiatives (for example Pathways through Pain an online course aimed to aid self-help amongst those living with persistent pain) have been launched across the UK, but roll out remains at an early stage. Methods: This mixed-methods study of older adults with chronic pain examines attitudes towards, current use of and acceptance of the use of technology in healthcare. A survey (n∈=∈168, 40% response rate) captured broad experiences of the use of technology in health and social care. Semi-structured interviews (four with technology and seven without technology participants) elicited attitudes towards technology in healthcare and explored attributes of personal and social interaction during home visits. Results: People suffering from chronic pain access healthcare in a variety of ways. eHealth technology use was most common amongst older adults who lived alone. There was broad acceptance of eHealth being used in future care of people with chronic pain, but older adults wanted eHealth to be delivered alongside existing in-person visits from health and social care professionals. Conclusions: eHealth has the potential to overcome some traditional challenges of providing rural healthcare, however roll out needs to be gradual and begin by supplementing, not substituting, existing care and should be mindful of individual's circumstances, capability and preferences. Acceptance of technology may relate to existing levels of personal and social contact, and may be greater where technological help is not perceived to be replacing in-person care. © 2015 Currie et al.; license BioMed Central.",long,2212,330,1349655,2,83%,"[[""<span class=\""highlighted\"" data-timestamp=\""1541459546234\"" style=\""background-color: rgb(255, 255, 123);\"" data-highlighted=\""true\""></span>"",""There is potential for technology to overcome some of these problems by decreasing or ceasing the need for patients and health professionals to travel to attend/deliver in-person appointments."",""1"",407,192],[""<span class=\""highlighted\"" data-timestamp=\""1541459553688\"" style=\""background-color: rgb(255, 255, 123);\"" data-highlighted=\""true\""></span>"",""This mixed-methods study of older adults with chronic pain examines attitudes towards, current use of and acceptance of the use of technology in healthcare"",""3"",235,155],[""<span class=\""highlighted\"" data-timestamp=\""1541459561711\"" style=\""background-color: rgb(255, 255, 123);\"" data-highlighted=\""true\""></span>"",""There was broad acceptance of eHealth being used in future care of people with chronic pain"",""5"",503,91]]",1,False,a3b6cdf027031c3f789f89e2fe273fc799efbf82,SRB,yes,1,14.475999999999999,783,1679,good,1
