eid,dataset,title,text,text_size,text_length,text_word_count,bertsum_quality,refresh_quality,bert_qa_quality,bertsum,refresh,bert_qa
42,Amazon,,"Phillip Bobbitt has created something very rare in the realm of International Relations: an entirely unique new idea.  For those students of history and current events who have grown accustomed to the accepted world views: Realism, Idealism - internationalism vs. isolationism; this new entry will provide a welcome and refreshing perspective.Rather than defining international politics in the typical framework of the ""balance of power"", or that of a ""bipolar"" or ""mulitpolar"" world, Bobbitt has completely redefined the course of history with his thesis.  He states the modern state has evolved through the course of history and taken many different forms, based on the demands and interplay (or history) of Strategy and Constitutional development.These various forms of the state have had differing expectations demanded from their populaces, and differing relationships amongst themselves at the international level.  Based on a field relationship between Strategy and Constitutionalism, different forms of the state have proven dominant at different periods of time.  Developments in one arena will create new trends in another- and the interplay is constant.  Currently Bobbitt makes the case that the current incarnation of the modern state, the Nation-State, is giving way to a new form which he has named the Market-State.Bobbitt backs up his arguments well with an historical analysis of the modern state ranging from the Machiavellian Princely-State to the wars of the Nation-States and beyond.  The entire book is very well documented with Primary and Secondary sources, which are indexed and included in a comprehensive bibliography.There is also a very interesting section written on the ""Possible Worlds"" of tomorrow based on the ground rules laid down throughout the book.  So Bobbitt not only comments on our past and present, but continues with speculation and predictions on the near term future.  This gives the ""Shield"" very well rounded experience for its contemporary reader.  What will be interesting is if this section stands the test of time.  I also hope that Mr. Bobbitt comments on his theses in future editions and expands this particular section as history progresses.The book is Mammoth, and would require a mammoth review to do it justice.  So at the expense of thoroughness, and to save you a few minutes I will say this: ""The Shield of Achilles"" is a long read well worth your time and its arguments should be considered by any students or participants in the field of International Relations",long,2527,396,neutral,neutral,good,"Phillip Bobbitt has created something very rare in the realm of International Relations : an entirely unique new idea .<q>Currently Bobbitt makes the case that the current incarnation of the modern state , the Nation-State , is giving way to a new form which he has named the Market-State.Bobbitt backs up his arguments well with an historical analysis of the modern state ranging from the Machiavellian Princely-State to the wars of the Nation-States and beyond .<q>Based on a field relationship between Strategy and Constitutionalism , different forms of the state have proven dominant at different periods of time .","Phillip Bobbitt has created something very rare in the realm of International Relations : an entirely unique new idea .
For those students of history and current events who have grown accustomed to the accepted world views : Realism , Idealism - internationalism vs. isolationism ; this new entry will provide a welcome and refreshing perspective.Rather than defining international politics in the typical framework of the `` balance of power '' , or that of a `` bipolar '' or `` mulitpolar '' world , Bobbitt has completely redefined the course of history with his thesis .
Based on a field relationship between Strategy and Constitutionalism , different forms of the state have proven dominant at different periods of time .",The book is Mammoth
45,Amazon,,"Written half a century ago, this well-researched historical fiction is as vibrant and as stirring today, as it, undoubtedly, was when it was first written. A best seller in its day, the book regales the reader with the story of Katherine De Roet and John of Gaunt. Born commoners to a herald who was knighted before he died, Katherine and her older sister Philippa, who went on to marry Geoffrey Chaucer, were left poor as church mice. While Philippa managed to obtain a post in the household of the Queen, wife to King Edward III of England, Katherine was sent to a convent. When she had grown into her early teens and become a raving beauty, Katherine left the convent to join her sister at Court. Upon doing so, her youthful beauty captivated a boorish knight, Sir Hugh Swynford, who lusted after her. He eventually married Katherine, when it became clear that it would be the only way by which he could satisfy his desire. At the same time that she met her husband to be, she also caught the eye of John of Gaunt, the Duke of Lancaster, son of King Edward III and brother to the heir to the throne, Edward, the Black Prince. John was, at the time, happily married to a beautiful woman named Blanche, who would befriend Katherine. After reluctantly becoming Lady Swynford, Katherine retired to her husband's estates. She would meet John of Gaunt again, igniting a passion that upon the death of Blanche and that of Sir Hugh Swynford would be consummated. For John of Gaunt, Katherine would remain the love of his life and his mistress, even though, for reasons of state, he could not marry her, at the time. He, instead, married the heiress to the throne of Castile. Still, Katherine remained with him, bearing him many children. Their illicit union was to cause much unrest and scandal throughout England, until they finally parted, only to reunite in their later years. John of Gaunt would then do something unprecedented. This act would bring them much happiness in their final years. This is a richly drawn portrait of a scintillating love affair in a time that was rife with political intrigue. Set in a medieval landscape with all the pageantry, strife, and turbulence that constituted fourteenth century England, this beautifully written narrative is peppered with those characters and individuals that made the period memorable. It is a novel to be savored and one with which the most discerning reader would be well satisfied. Bravo!",long,2445,422,good,good,neutral,"A best seller in its day , the book regales the reader with the story of Katherine De Roet and John of Gaunt .<q>Born commoners to a herald who was knighted before he died , Katherine and her older sister Philippa , who went on to marry Geoffrey Chaucer , were left poor as church mice .<q>While Philippa managed to obtain a post in the household of the Queen , wife to King Edward III of England , Katherine was sent to a convent .","Written half a century ago , this well-researched historical fiction is as vibrant and as stirring today , as it , undoubtedly , was when it was first written .
A best seller in its day , the book regales the reader with the story of Katherine De Roet and John of Gaunt .
Born commoners to a herald who was knighted before he died , Katherine and her older sister Philippa , who went on to marry Geoffrey Chaucer , were left poor as church mice .",A best seller in its day
11,Amazon,,"Wallace Stevens is my favorite poet. This Library of America collection is to be preferred as a source of his writing: it includes a number of additional poems relative to his Collected Poems (including the controversial long poem ""Owl's Clover""), as well as alternate versions of some poems, juvenilia, and also Stevens's essays.Stevens is known, it seems to me, in two separate ways. In the popular sense, he is known for a series of remarkable early poems, in most cases not terribly long, notable for striking images and quite beautiful prosody. Of these poems the most famous is surely ""Sunday Morning"" -- other examples are ""Thirteen Ways of Looking at a Blackbird"", ""Peter Quince at the Clavier"", ""Sea Surface Full of Clouds"", ""Tea at the Palaz of Hoon"", ""The Emperor of Ice Cream"", ""The Idea of Order at Key West"", ""Of Modern Poetry"". The great bulk of these come from his first collection, Harmonium, and indeed from the first edition of Harmonium, published in 1923. These were certainly my favorite among his poems on first reading. And they remain favorites.But his critical reputation rests strikingly on a completely different set of poems, all later than those mentioned above. (Though it must be acknowledged that at least ""Sunday Morning"" and ""The Idea of Order at Key West"" as well as two early long poems, ""The Comedian as the Letter C"" and ""The Monocle de Mon Oncle"", are in general highly regarded critically. And that most of his early work is certainly treated with respect.) I think it's fair to say that ""late Stevens"" begins with ""Notes Toward a Supreme Fiction"", perhaps his most highly regarded work. Of course the terms ""late"" and ""early"" are odd applied to Stevens. His first successful poems appeared in 1915 (including ""Sunday Morning""), when he was 36. He was 44 when the first edition of Harmonium came out. That's pretty late for ""early""! And by the 1942 publication of ""Notes Toward a Supreme Fiction"" he was 63. Indeed, his production from 1942 through his death in 1955 was remarkable: two major collections each with several long poems as well as at least another full collection worth of late poems, some included in this _Collected Poems_ but quite a few more not collected until after his death. What to say about late Stevens? The most obvious adjective is ""austere"". But that doesn't always apply -- he could also be quite playful. However, there is never the lushness of a ""Sunday Morning"" or ""Sea Surface Full of Clouds"" in the late works. The sentences tend to extraordinary length, but the internal rhythms are involving. The poems are all quite philosophical, much concerned with the importance of poetry, the nature of reality versus perceptions of reality, and, perhaps more simply, with growing old. (A Stevens theme, to be sure, that can be traced at least back to ""The Monocle de Mon Oncle"".)So: Stevens is an impossibly wonderful, remarkable, poet, either early or late. His lush and imagist early work remains a delight, and his philosophically involving late work rewards rereading and concentration. He is a poet to whom you can return again and again, and he will always be new",long,3136,531,neutral,neutral,neutral,"Wallace Stevens is my favorite poet .<q>In the popular sense , he is known for a series of remarkable early poems , in most cases not terribly long , notable for striking images and quite beautiful prosody .<q>This Library of America collection is to be preferred as a source of his writing : it includes a number of additional poems relative to his Collected Poems ( including the controversial long poem `` Owl 's Clover '' ) , as well as alternate versions of some poems , juvenilia , and also Stevens 's essays.Stevens is known , it seems to me , in two separate ways .","Wallace Stevens is my favorite poet .
In the popular sense , he is known for a series of remarkable early poems , in most cases not terribly long , notable for striking images and quite beautiful prosody .
The great bulk of these come from his first collection , Harmonium , and indeed from the first edition of Harmonium , published in 1923 .","The sentences tend to extraordinary length, but the internal rhythms are involving"
17,Amazon,,"I've vaguely liked the Avengers in the past, having been a fan going all the way back to the John Buscema days. But even in the Buscema era, there was always this sense of ho-humness to it all, a staid sameness to the stories, a lack of spark. None of the Avengers members made me sit up and take notice...they all bored me... Captain America, Iron Man, the Wasp, Thor, Hercules, the Vision, Firefox...*yawn*. It was evident to me that complacency had become the standard of the day. It  finally forced  me to withdraw my half-hearted patronship. Even Busiek and the awesome George Perez's run couldn't enlist me to the fold. Bendis signing on with the title in 2004 didn't do it either. But with the New Avengers, Brian Michael Bendis seems to finally have hit on that magic formula that I think'll bring about the most successful Avengers run yet. Okay, here's a quick plot break-down: The New Avengers #1 (trade paperback) opens up in a Marvel universe where the Avengers team has been disbanded (see Avengers Disassembled). There is a massive breakout at Ryker's Island and 87 supervillains run amok. Unfortunately for them, Daredevil, Spider-Woman and Luke Cage (with Foggy Nelson) were already on site, visiting the self-incarcerated Sentry. Captain America, Iron Man and Spidey show up soon after. There is a super-melee and then order is restored, but not after the damage is done.  45 supercriminals are re-jailed, but 42 escape (from Iron Man: ""Okay, we officially did that half-ass.""). Captain America can't help but feel that this fortuitous meeting of heroes is an auspicious sign, that perhaps it's time again for an Avengers team to be assembled. And that's pretty much how it starts, folks.The spark that I felt was lacking in the earlier Avengers incarnations is strictly in place here. Chemistry is a palpable, exciting thing when present, and the make-up of this team lends to just such a feeling. I'm pumped up about so many things re this title. Yeah, I find Cap still boring (I don't much like Superman, either; there's just something blah about boy scouts: they're always right and goody-goody *yech!*; who can live up to that standard? how do you relate to them?) and Sentry is too powerful for my taste, but Iron Man as the co-leader is growing on me. I've always liked Spider-Woman; her current personal storyline is intriguing. Wolverine's brunt, brash attitude clashes nicely with the more sedate personalities, so that's fun. Luke Cage is very good counter-programming; he's the last person I would've thought would be an Avenger, a very anti-establishment pick. There's also a mystery member yet to show, so keep your eyes open.And finally, there's Spidey - now who woulda thunk that? With his entry in the hallowed ranks of the Avengers, he just entered full adulthood in my eyes. He's actually the main reason I decided to try this book out. Peter Parker adds humor, youth and a certain naivete that enables the reader to better relate to him and the mighty Avengers. To me, Peter is the humanizing element in this team, makes me root for the group as a whole to succeed. Also, his sense of humor seems to be influencing his teammates, who are more loose, relaxed and would occasionally even crack their own quips (even Cap now jokes around!). Peter's exchanges with Luke and Jessica are priceless.With Bendis' superb storytelling skills and Finch's awesome art, coupled with a vibrant new cast that might make you initially say ""huh?"", but will nevertheless grow on you, you cannot go wrong with the New Avengers. So, c'mon, give it a try. ",long,3573,609,good,neutral,neutral,"Okay , here 's a quick plot break-down : The New Avengers # 1 ( trade paperback ) opens up in a Marvel universe where the Avengers team has been disbanded ( see Avengers Disassembled ) .<q>But with the New Avengers , Brian Michael Bendis seems to finally have hit on that magic formula that I think 'll bring about the most successful Avengers run yet .<q>Captain America , Iron Man and Spidey show up soon after .","Even Busiek and the awesome George Perez 's run could n't enlist me to the fold .
Okay , here 's a quick plot break-down : The New Avengers # 1 -LRB- trade paperback -RRB- opens up in a Marvel universe where the Avengers team has been disbanded -LRB- see Avengers Disassembled -RRB- .
There is a massive breakout at Ryker 's Island and 87 supervillains run amok .",The New Avengers #1
35,Amazon,,"This books stands apart in autobiographies. Unlike autobiographies written in vanity at the crest of success, this one is written as a melancholic meditation on life, at the crest of what Henry Adams thought was his failure. Adams always refers to himself in third person and in the humorous and abject epithets giving the autobiography the character of a novel or a biography.Henry Adams, was a historian, journalist and political private secretary, with intrests as varied as physics, chemistry, geology, evolution, mathematics, politics, history, and diplomacy. He was the son of a diplomat, Charles Francis Adams. His grand-father was John Quincy Adams the 6th president of USA and great-grand father was John Adams, the 2nd president.Despite being one of the greatest American historians, with a successful career in history, journalism and literature, Adams regarded himself as a failure because he was inconsequential in politics and society as compared to his forefathers and his education based on eighteenth century principles of the founding fathers of USA, imparted through his relatives, peers, school, socity and the Harvard College, was unsuitable to meet the challenges of the world he was to grow into - the nineteenth and twentieth centuries.Adams believed that the law of acceleration of forces in history lead to a situation where a person trained for a certain level of complexity finds himself at the mercy of forces of a higher complexity as he grows up. This was his theory of history, intimately derived from his experience of life.He felt that all education through parents, school, college, work or life can never in its entirety prepare a person for life, because the society around you changes at an accelerating pace while your education rooted in your parents values and the value of the soceity of your childhood becomes obsolete by the time you need to put it to use. So at each stage of life man always needs to begin his education anew.The merit of this books goes beyond just and insight into education, life or failure. It also illuminates the time from 1838 to 1905. Adams was close to political, literary, artistic and scientific circles in Europe and America and travelled far and wide visiting England, France, Germany, Italy, Norway, Sweden, Russia, Egypt, Mexico and Cuba, some of these countries again and again.The books is rich in literary style and historical, literary, scientific, cultural, economic and sociological insights as it analyzes self, peoples, times and cultures",long,2523,406,neutral,suboptimal,neutral,"He was the son of a diplomat , Charles Francis Adams .<q>Adams always refers to himself in third person and in the humorous and abject epithets giving the autobiography the character of a novel or a biography.Henry Adams , was a historian , journalist and political private secretary , with intrests as varied as physics , chemistry , geology , evolution , mathematics , politics , history , and diplomacy .<q>His grand-father was John Quincy Adams the 6th president of USA and great-grand father was John Adams , the 2nd president.Despite being one of the greatest American historians , with a successful career in history , journalism and literature , Adams regarded himself as a failure because he was inconsequential in politics and society as compared to his forefathers and his education based on eighteenth century principles of the founding fathers of USA , imparted through his relatives , peers , school , socity and the Harvard College , was unsuitable to meet the challenges of the world he was to grow into - the nineteenth and twentieth centuries.Adams believed that the law of acceleration of forces in history lead to a situation where a person trained for a certain level of complexity finds himself at the mercy of forces of a higher complexity as he grows up .","Unlike autobiographies written in vanity at the crest of success , this one is written as a melancholic meditation on life , at the crest of what Henry Adams thought was his failure .
Adams always refers to himself in third person and in the humorous and abject epithets giving the autobiography the character of a novel or a biography.Henry Adams , was a historian , journalist and political private secretary , with intrests as varied as physics , chemistry , geology , evolution , mathematics , politics , history , and diplomacy .
He was the son of a diplomat , Charles Francis Adams .",a melancholic meditation on life
1,Amazon,,"I have purchased about forty books that deal with warfare in antiquity in the past year.  Almost all of them have proven to be utterly infuriating and completely useless.  You can garner from the Internet every iota of information that you can from just about all the books offered on ancient warfare.  Most deal more with societal effects, cultural developments and histories of civilizations than they do with battlefield strategies, tactics and how men actually used their weapons in the thick of combat.  These books are, for the most part, completely useless and should be avoided.Except this one.The Western War of War is a triumph of analysis in both the microscopic makeup of a hoplite army and the experiences they underwent during a battle.  In my research I have found THIS BOOK alone to be a gem, an unparalleled necessity to discern what Greek warfare was truly like.  The author pulls quotes from Herodotus, Homer, Xenophon and others to illustrate his excellent insights into the entire process of hoplite fighting.  If you buy this book you will learn what kind of men donned the aspis shield and bronze cuirass; what it was like to use the ash or cornel wood spear and the xyphos sword; what an army did from the moment they rose to the seconds before the clash; the spacing and makeup of troops; the infurating conflict and the confusion of battle; what it smelled, tasted, sounded and felt like to be lost in the miasma of two phalanxes grinding against one another.  On top of this you will read about examples of ancient battles and how they illustrate Mr. Hanson's insights further.The only gripe anyone could have with this book is that there are no pictures to go along wit the text, but the descriptions are so in-depth that no visuals are needed, the author's words paint a vivid picture worthy of a novel.  You will not be disappointed by the lack of pictures or diagrams, this book conveys its subject perfectly.Go used if you can (as always), but don't shy away from having to pay retail.  Most bookstores carry it (which is where I found it) but it's totally worth the wait to buy online.  If you are writing a book/screenplay on the subject, doing research for a paper, or are in ANY WAY interested in hoplite warfare YOU MUST PURCHASE THIS BOOK!  It is as indispensable of a necessity on the topic as Herodotus, Homer or Xenophon",long,2361,412,good,suboptimal,good,"I have purchased about forty books that deal with warfare in antiquity in the past year .<q>The author pulls quotes from Herodotus , Homer , Xenophon and others to illustrate his excellent insights into the entire process of hoplite fighting .<q>In my research I have found THIS BOOK alone to be a gem , an unparalleled necessity to discern what Greek warfare was truly like .","I have purchased about forty books that deal with warfare in antiquity in the past year .
Almost all of them have proven to be utterly infuriating and completely useless .
These books are , for the most part , completely useless and should be avoided.Except this one.The Western War of War is a triumph of analysis in both the microscopic makeup of a hoplite army and the experiences they underwent during a battle .",this book conveys its subject perfectly
27,Amazon,,"There's an elephant in the room which I need to address. If you took  a look at the Publishers Weekly review, you know what I mean. Quite the coup for a first-time novelist from a Christian publishing house to receive such notice. Except for the part of the review that delivers some tough criticism. Here's probably the harshest line: ""the series of misunderstandings that she [the protagonist] substitutes for actual problems give the novel a contrived feel""Don't get me wrong--I respect PW and know that their approval (which they end up giving Chocolate Beach in small doses) can mean a lot to the success of a novel. However, they are not infallible. In this instance, they got it wrong. Not totally. But still wrong.Yes, protagonist Brianna Stone does seem to have an ideal life. I thought it sounded about perfect and sort of smiled when she found her day at her beach home with her one son and lawyer husband so exhausting she needed to take a nap. But Bri's worries are not based on misunderstandings, as PW suggests. Nor does the one comment from her friend send her off doing drastic things to her lifestyle.Instead, a sequence of events, one after the other, expose a problem at her core--a problem she handles badly. All of these circumstances taken together work powerfully to teach Bri what change she really needs to make. Which is the way I see God so often working in my life.Strengths. There are many. For one, I agree with PW that Carobini's ""descriptions of characters and events are often witty and engaging."" The book was fun, humorous, yes, witty.Carobini also has such a strong, fresh voice and has the knack of making each of her characters unique and interesting. Bri, of course, is the strongest. She is a likable protagonist, convincing--someone I found myself caring for, worrying with. Her jaunty tone contrasted with several of the uptight women in her life, setting her apart in a positive way.The story is delightful--the unexpected and worrisome mixed with the humorous. Carobini sprinkles the story liberally with pop-culture allusions that add an interesting dimension. Plus, I found the events believable, especially as backstory was layered in.No, some of the deep hurts of Bri's past do not become the focus of the story, nor should they in a mom-lit story. What does happen is the realization of a new way to handle hurts.Which brings me to the theme of the story. * * * SPOILER ALERT * * * If I had to spell it out, I'd use lines straight from the book--not because Carobini preached, but because her character discovered what she needed to know: ""Not that I don't believe there's power in transformation. Oh, I do, I do! I think, though, that it should start with the mind and the heart, not rumors and fears.""It seems to me the PW reviewer missed this point in stating that the story was built upon misunderstandings. It was not. It was built on Bri's doubts and fears, all well established throughout the story, but not belabored. After all, this is mom-lit. * * * End SPOILER ALERT * * *Weakness. As I've already mentioned, in the beginning I had a little bit of a desire to head-slap Bri for not drinking in her perfect life. Of course, that was because as I first viewed her life, it looked quite appealing, something I wouldn't mind too much if I were forced to take her place.But as I began to see her life as she saw it, to understand that she had good reasons for her concerns, my empathy for her grew and my belief in the rightness of her reactions cancelled out those early inclinations.Recommendation. I enjoyed this book immensely, even though it is not my genre of choice. It was fun to read and the character stayed on my mind for days after. I was sorry I didn't have some way of checking in on Bri to see how she is doing now.  I highly recommend this entertaining, light book for all fans of m",long,3854,684,good,neutral,neutral,"The book was fun , humorous , yes , witty.Carobini also has such a strong , fresh voice and has the knack of making each of her characters unique and interesting .<q>But Bri 's worries are not based on misunderstandings , as PW suggests .<q>But still wrong.Yes , protagonist Brianna Stone does seem to have an ideal life .","Quite the coup for a first-time novelist from a Christian publishing house to receive such notice .
But Bri 's worries are not based on misunderstandings , as PW suggests .
What does happen is the realization of a new way to handle hurts.Which brings me to the theme of the story .",tough criticism
18,Amazon,,"Grentz's Primer is singled out by the articles in Reclaiming the Center because it is an important contribution to formulating a coherent view of postmodern thought; however, the direction that Grentz suggests in his conclusion is well-intentioned but misguided. A survey of recent intellectual thought within the Christian church shows the Grentz is within the missionary tradition of the church: he embraces certain aspects of postmodernism in order to reach postmoderns. The same desire gave rise to liberalism at the beginning of the last century: to reach adherents of enlightenment rationalism the gospel needed to accommodate itself to an intellectual world in which rational man was the center. Toward the middle of the twentieth century, neo-orthodoxy sought to communicate the gospel to existential man through a program of demythologizing the gospel, and form and redaction criticism. Likewise, Grentz seeks to convert postmodern individuals to Christianity by framing the gospel in postmodern terms. Like earlier attempts to convert people through by accommodating the message, there is a reaction. Some will embrace Grentz's program as a means of reaching the unchurched. Others, like the contributors to Reclaiming the Center, will reject Grentz's proposal as an unacceptable accommodation.The fundamental question is whether postmodernism is compatible with historic Christianity. I do not believe that it is. First, Christianity makes universal truth claims. Jean Francois Leotard, the most famous European postmodern, in The Postmodern Condition defined postmodernism as ""incredulity toward meta-narratives"" because meta-narratives promise but cannot deliver. Christianity, like all philosophical systems, is a meta-narrative (cf. 1 Cor. 15; John 14:6f., 8:31f., 1:1ff., etc.). The gospel is a target for postmodern deconstruction because these truth claims are total and exclusive. Second, the Bible is a text that purports to be the word of God. Jesus said, ""Thy word is truth"" (John 17:17). For postmoderns, the authorial intent is impossible to assertain (contra E. D. Hirsch, Validity in Interpretation). And if intent could be assertained, it should be deconstructed because it is necessarily oppressive. Furthermore, if ""every scripture is inspired by God and useful for teaching, for reproof, for correction, and for training in righteousness, that the person dedicated to God may be capable and equipped for every good work"" (2 Tim. 3:16f.), then the subtext of scripture is oppressive. Postmoderns feel the need to deconstruct these oppressive elements to become liberators of a radical (Nietzschean) kind. Third, from its inception to the present, Christianity is fundamentally a belief system that can be expressed propositionally. The scriptures contain propositions or statements that can readily be transformed into truth claims. The historic doctrines and creeds for Christendom are expressed propositionally. Postmodernism rejects the validity of such claims. They are the social products of communities rather than discovered or disclosed truth. Grentz's evangelistic zeal leads him to seek accommodation with a school of thought that is antagonistic with what he holds most dear",long,3214,475,neutral,suboptimal,suboptimal,"A survey of recent intellectual thought within the Christian church shows the Grentz is within the missionary tradition of the church : he embraces certain aspects of postmodernism in order to reach postmoderns .<q>Likewise , Grentz seeks to convert postmodern individuals to Christianity by framing the gospel in postmodern terms .<q>Some will embrace Grentz 's program as a means of reaching the unchurched .","Grentz 's Primer is singled out by the articles in Reclaiming the Center because it is an important contribution to formulating a coherent view of postmodern thought ; however , the direction that Grentz suggests in his conclusion is well-intentioned but misguided .
Likewise , Grentz seeks to convert postmodern individuals to Christianity by framing the gospel in postmodern terms .
Some will embrace Grentz 's program as a means of reaching the unchurched .",the subtext of scripture is oppressive
14,Amazon,,"    This book is the best book I have ever read. It brought me shivers, heartache, guilt, love towards others. It made me realize how people are in the world, and how all of these wonderful gifts appear to us in mystery, love and by prayer. You yourself have to believe and look around to what you have been given in life.     If you are a nonbeliever of God, Jesus, and the angels, you seriously need to read this book and repent your sins, ask God for forgiveness and ask Him into your heart. It's a story about a women (the author who wrote this book) going into Hell first for ten days and then arriving into Heaven with the angel of God and Jesus Himself. Jesus would come and appear in her bedroom around two in the morning and take her up to heaven. Jesus picked her and told her that she was supposed to tell everyone else back on earth about what she saw. She was completely speechless when she arrived.     Jesus and the angel of God took her to many rooms and explained each and every room to her and what they do in there. One room that was one of my favorites was the room of tears. It was a room filled with bottles of water that were actually filled with human tears back on earth. She witnessed an angel coming back from the earth carrying a bowl of a man's tears. The angel set it down on the most beautiful table. He took one single tear drop and dropped it on a empty book that he was holding. The women saw that empty book with empty pages appear into words just with that one tear drop. I'm not sure what it was saying but I think that it would be the prayers that that man has said while crying or just about his life.     Mary (the author who witnessed this experience) saw an angel holding The Book Of Life. If some of you who don't know what that is, it is a book with names of people who are going to heaven, so if your name is not in that book, you're not going to heaven. Satan has a book he calls The Black Book and your name does not want to be in there or else you are in big trouble. To be in God's book you have to be born again, ask Him in your heart and repent your sins (which means ask for forgiveness and mean it).    I can't tell you what happens in the end, but what I can tell you is that all through that book Mary kept saying, ""God is real, Jesus is real, Heaven is real, please believe in this place."" She sang songs up there, praised to Him and everyone is happy. She also realized that when she was in Hell she noticed that there were no babies or infants there, so if any mothers out there who have lost a child I am glad to tell you that He or She is in heaven with God and is very happy. They will be happy for eternity.     ",long,2674,529,good,good,good,"It 's a story about a women ( the author who wrote this book ) going into Hell first for ten days and then arriving into Heaven with the angel of God and Jesus Himself .<q>To be in God 's book you have to be born again , ask Him in your heart and repent your sins ( which means ask for forgiveness and mean it ) .<q>This book is the best book I have ever read .","This book is the best book I have ever read .
If you are a nonbeliever of God , Jesus , and the angels , you seriously need to read this book and repent your sins , ask God for forgiveness and ask Him into your heart .
To be in God 's book you have to be born again , ask Him in your heart and repent your sins -LRB- which means ask for forgiveness and mean it -RRB- .",This book is the best book I have ever read
12,Amazon,,"I just received this fantastic James Bond poster collection book and I have to say, this is indispensable stuff, going all the way from Dr NO to Die Another Day, and even including oddities like Casino Royale and Never Say Never Again. Author Tony Nourmand has clearly put a great amount of effort and research into the making of this book, and it shows. Beautifully presented, this has quickly turned out to be one of my preferred movie books. Showcasing classic posters from some of the leading graphic artists of the 1970s and 80s like Robert McGinnis (Live and Let Die and The Man with The Golden Gun are amazing), Bob Peak (Moonraker), Frank McCarthy, Renato Casaro and Randi Braun, their collective works culminate in a lavishly presented masterwork that looks fantastic. Footnotes on subtle changes that were made to some late 70s movie posters are particularly welcome, as are the informative and interesting introductions that accompany the film-based chapters. The Sean Connery films for instance, comprise extensive thoughts from Nourmand talking about discarded poster ideas and how the change of leading man from Connery to George Lazenby caused some marketing concerns. It's not difficult to see why some of the early posters like From Russia With Love are sought after by collectors, these highly prized masterpieces are worth thousands by today's market. Being a poster collector myself, I've found that this is a particularly lucrative hobby. Theses are not just your average, run of the mill images, these are works of art that look beautiful on the wall. Poster layouts for the Roger Moore era are the most elaborate, indicating the change in times, Britain and America's quickly changing tastes, and the myriad of factors that are involved in this particular art. Foreign posters from Japan and Spain display the differential takes on how these particular films should be marketed, and the changes that were made by more conservative global regions to the more sexually suggestive artwork. Reading it, one notices the gradual change from traditional watercolor artwork to photo mosaics and stylish computer-aided photography. Which is, arguably less impressive, but mostly, the posters for the new Pierce Brosnan films do carry on the subtle nuances and certain recognizable M.O that is so popular. This is must-have material for 007 fans and poster fans alike and inspiration for aspiring artists in the field of movies",long,2440,396,neutral,good,good,"Showcasing classic posters from some of the leading graphic artists of the 1970s and 80s like Robert McGinnis ( Live and Let Die and The Man with The Golden Gun are amazing ) , Bob Peak ( Moonraker ) , Frank McCarthy , Renato Casaro and Randi Braun , their collective works culminate in a lavishly presented masterwork that looks fantastic .<q>Footnotes on subtle changes that were made to some late 70s movie posters are particularly welcome , as are the informative and interesting introductions that accompany the film-based chapters .<q>Which is , arguably less impressive , but mostly , the posters for the new Pierce Brosnan films do carry on the subtle nuances and certain recognizable M.O that is so popular .","Author Tony Nourmand has clearly put a great amount of effort and research into the making of this book , and it shows .
Beautifully presented , this has quickly turned out to be one of my preferred movie books .
Theses are not just your average , run of the mill images , these are works of art that look beautiful on the wall .","I just received this fantastic James Bond poster collection book and I have to say, this is indispensable stuff"
